variant,file_size,file_size_bytes,n_trimmed,mean_ms,sd_ms,ci95_lo,ci95_hi,throughput_MBps,expansion_pct,encap_us,hkdf_us,aes_ms,pack_ms
ML-KEM-512,256 KB,262144,269,0.9465,0.2199,0.9203,0.9728,264.12,0.3036,190.89,59.84,0.6536,0.0422
ML-KEM-512,512 KB,524288,269,1.2178,0.2054,1.1933,1.2424,410.57,0.1518,182.26,58.85,0.9302,0.0465
ML-KEM-512,1 MB,1048576,269,2.5017,0.3877,2.4554,2.548,399.73,0.0759,204.16,72.26,1.8852,0.3401
ML-KEM-512,2 MB,2097152,269,4.3553,0.7631,4.2641,4.4465,459.21,0.038,264.33,91.66,3.4196,0.5797
ML-KEM-512,4 MB,4194304,269,8.2312,1.0667,8.1037,8.3586,485.96,0.019,301.05,124.51,6.6593,1.1463
ML-KEM-512,8 MB,8388608,269,16.8452,1.942,16.6132,17.0773,474.91,0.0095,376.08,136.91,13.9906,2.3416
ML-KEM-768,256 KB,262144,269,0.8993,0.2633,0.8679,0.9308,277.98,0.4257,233.94,62.71,0.563,0.0397
ML-KEM-768,512 KB,524288,269,1.3344,0.3009,1.2984,1.3703,374.71,0.2129,267.62,71.63,0.9379,0.0573
ML-KEM-768,1 MB,1048576,269,3.1071,0.6209,3.0329,3.1813,321.84,0.1064,302.37,96.79,2.3221,0.3858
ML-KEM-768,2 MB,2097152,269,5.3996,1.1996,5.2563,5.543,370.39,0.0532,385.26,131.77,4.1808,0.7018
ML-KEM-768,4 MB,4194304,269,9.2715,1.5107,9.091,9.4521,431.43,0.0266,409.43,145.88,7.4177,1.2985
ML-KEM-768,8 MB,8388608,269,18.826,2.288,18.5526,19.0995,424.94,0.0133,492.93,153.94,15.5741,2.6051
ML-KEM-1024,256 KB,262144,269,0.7847,0.2167,0.7588,0.8106,318.58,0.6088,243.15,50.36,0.463,0.0282
ML-KEM-1024,512 KB,524288,269,1.3494,0.3474,1.3079,1.3909,370.53,0.3044,278.37,60.88,0.962,0.0482
ML-KEM-1024,1 MB,1048576,269,2.7771,0.603,2.7051,2.8492,360.09,0.1522,309.87,74.02,2.0255,0.3678
ML-KEM-1024,2 MB,2097152,269,4.7629,0.9694,4.647,4.8787,419.91,0.0761,387.11,112.85,3.6336,0.6293
ML-KEM-1024,4 MB,4194304,269,9.526,1.4629,9.3511,9.7008,419.91,0.0381,473.0,142.89,7.565,1.3451
ML-KEM-1024,8 MB,8388608,269,18.5161,2.3889,18.2306,18.8016,432.06,0.019,499.01,163.65,15.3043,2.5492
